Rank,Song,Artist(s),Album,GYD_PLAYLIST_NAME,GYD_TIMESTAMP
1,Last Night,Morgan Wallen,One Thing At A Time,top-100-usa,2023-02-12 15:23:28.025519
2,Kill Bill,SZA,SOS,top-100-usa,2023-02-12 15:23:28.025519
3,Flowers,Miley Cyrus,Endless Summer Vacation,top-100-usa,2023-02-12 15:23:28.025519
4,Love You Anyway,Luke Combs,Gettin' Old,top-100-usa,2023-02-12 15:23:28.025519
5,Snooze,SZA,SOS,top-100-usa,2023-02-12 15:23:28.025519
6,Boy's a liar Pt. 2,PinkPantheress,Boy's a liar Pt. 2 - Single,top-100-usa,2023-02-12 15:23:28.025519
6,Boy's a liar Pt. 2,Ice Spice,Boy's a liar Pt. 2 - Single,top-100-usa,2023-02-12 15:23:28.025519
7,Rich Flex,Drake,Her Loss,top-100-usa,2023-02-12 15:23:28.025519
7,Rich Flex,21 Savage,Her Loss,top-100-usa,2023-02-12 15:23:28.025519
8,Creepin',Metro Boomin,HEROES & VILLAINS,top-100-usa,2023-02-12 15:23:28.025519
8,Creepin',The Weeknd,HEROES & VILLAINS,top-100-usa,2023-02-12 15:23:28.025519
8,Creepin',21 Savage,HEROES & VILLAINS,top-100-usa,2023-02-12 15:23:28.025519
9,Freestyle,Lil Baby,Too Hard,top-100-usa,2023-02-12 15:23:28.025519
10,Just Wanna Rock,Lil Uzi Vert,Just Wanna Rock - Single,top-100-usa,2023-02-12 15:23:28.025519
11,Superhero (Heroes & Villains),Metro Boomin,HEROES & VILLAINS,top-100-usa,2023-02-12 15:23:28.025519
11,Superhero (Heroes & Villains),Future,HEROES & VILLAINS,top-100-usa,2023-02-12 15:23:28.025519
11,Superhero (Heroes & Villains),Chris Brown,HEROES & VILLAINS,top-100-usa,2023-02-12 15:23:28.025519
12,You Proof,Morgan Wallen,You Proof - Single,top-100-usa,2023-02-12 15:23:28.025519
13,WAIT FOR U (feat. Drake & Tems),Future,I NEVER LIKED YOU,top-100-usa,2023-02-12 15:23:28.025519
14,One Thing At A Time,Morgan Wallen,One Thing At A Time (Sampler) - Single,top-100-usa,2023-02-12 15:23:28.025519
15,Sure Thing,Miguel,All I Want Is You,top-100-usa,2023-02-12 15:23:28.025519
16,Under the Influence,Chris Brown,Indigo (Extended),top-100-usa,2023-02-12 15:23:28.025519
17,Die For You,The Weeknd,Starboy,top-100-usa,2023-02-12 15:23:28.025519
18,I Wrote The Book,Morgan Wallen,One Thing At A Time,top-100-usa,2023-02-12 15:23:28.025519
19,Bebe Dame,Fuerza Regida,Bebe Dame - Single,top-100-usa,2023-02-12 15:23:28.025519
19,Bebe Dame,Grupo Frontera,Bebe Dame - Single,top-100-usa,2023-02-12 15:23:28.025519
20,Spin Bout U,Drake,Her Loss,top-100-usa,2023-02-12 15:23:28.025519
20,Spin Bout U,21 Savage,Her Loss,top-100-usa,2023-02-12 15:23:28.025519
21,Thought You Should Know,Morgan Wallen,Thought You Should Know - Single,top-100-usa,2023-02-12 15:23:28.025519
